Link;Members;Daily Joined;Daily Left;Weekly Joined;Weekly Left;Monthly Joined;Monthly Left
http://vk.com/nlportal;113496;57;41;420;260;1911;1214
http://instagram.com/nlstor_e;75038;105;0;708;0;2783;0
http://instagram.com/avonrussia;59118;53;0;366;0;2512;0
http://ok.ru/nutriliterussia;55737;7;0;54;0;385;4
http://vk.com/nestlefitnessrus;55344;12;8;128;105;843;353
http://facebook.com/nutriliterussia;32338;8;0;35;0;199;0
http://vk.com/nutriliterussia;30298;7;6;89;33;383;166
http://instagram.com/drkorner;19217;0;7;39;28;741;35
http://vk.com/dr.korner;18921;3;4;27;30;75;157
http://facebook.com/Dr.Korner;15854;0;1;1;7;131;30
http://instagram.com/nestlefitnessrussia;6669;27;0;85;7;139;86
http://instagram.com/ostinkids;66487;109;0;1023;0;3112;0
http://ok.ru/ostinkids;43002;0;1;2;12;39;45
http://vk.com/ostin.kids;39415;109;33;480;156;1912;650
http://instagram.com/vodny2_ru;2059;1;0;10;5;22;30
http://facebook.com/ostin.kids;1641;0;0;4;1;48;2
http://vk.com/gloria.jeans;434324;181;91;1309;721;6060;3221
http://instagram.com/ostin_official;274262;0;9;1082;77;12516;98
http://instagram.com/_gloriajeans_;216394;50;0;620;0;3191;36
http://vk.com/ostin;210925;200;81;1217;579;5985;2822
http://ok.ru/ostin.stores;113882;0;3;11;26;198;67
http://vk.com/sela_ru;82504;23;19;118;127;456;597
http://ok.ru/gloriajeanscorp;56673;6;0;56;1;350;1
http://instagram.com/sela_ru;45141;52;0;360;0;1153;0
http://facebook.com/sela.shop;22003;0;4;2;11;13;38
http://ok.ru/sela.ru;21222;0;1;5;5;18;18
http://facebook.com/ostin.stores;20838;2;0;10;6;107;12
http://facebook.com/gloriajeanscorp;10995;1;0;13;1;153;5
http://vk.com/sektaschool;118567;38;34;791;187;3483;769
http://instagram.com/sektaschool;108599;0;23;0;297;552;632
http://instagram.com/worldclassclubs;57097;30;0;108;29;405;56
http://facebook.com/worldclassclubs;50805;0;4;7;12;94;31
http://vk.com/worldclassclubs;30775;12;4;81;35;364;180
http://facebook.com/sektaschool;11429;0;0;13;0;111;5
http://instagram.com/thebasefitness;7844;0;0;57;0;179;17
http://facebook.com/thebasefitness;5386;2;0;6;0;13;10
http://vk.com/thebasefitness;2571;2;0;8;4;45;19
http://facebook.com/VichyRussia;7713259;2072;0;17018;0;65353;0
http://facebook.com/LaRochePosayRussia;5588241;1380;0;21299;0;129060;0
http://facebook.com/BIODERMARu;3696720;713;0;6186;0;29875;0
http://facebook.com/EauThermaleAveneRussia;3103200;773;0;6989;0;34447;0
http://facebook.com/UriageRussia;711727;213;0;2131;0;6876;0
http://vk.com/vichy_russia;131459;19;19;252;149;4059;760
http://instagram.com/larocheposay_russia;91130;81;0;810;0;6891;2
http://instagram.com/vichyrussia;36606;135;0;2042;0;4431;0
http://vk.com/larocheposayrussia;32709;87;13;511;85;1702;354
http://vk.com/eauthermaleavenerussia;20273;2;8;8;43;40;262
